Number of threads,Real time,Time in kernel mode,Time in user mode,Percent of CPU time,Max size,Number of filesystem Inputs,Number of filesystem Outputs,Number of signals delivered to process
1,53.37,0.01,0.01,0%,1476,40,0,0
2,36.27,0.01,0.01,0%,1484,0,0,0
3,22.68,0.01,0.01,0%,1492,0,0,0
4,19.26,0.01,0.01,0%,1500,0,0,0
5,13.46,0.01,0.01,0%,1500,0,0,0
6,13.8,0.01,0.01,0%,1500,0,0,0
7,13.14,0.01,0,0%,1504,0,0,0
8,12.3,0.01,0.01,0%,1508,0,0,0
9,8.46,0,0.01,0%,1516,0,0,0
10,9.09,0.01,0.01,0%,1524,0,0,0
11,7.47,0.01,0,0%,1532,0,0,0
12,7.32,0.01,0.01,0%,1540,0,0,0
13,8.03,0,0.01,0%,1548,0,0,0
14,7.31,0.01,0.01,0%,1560,0,0,0
15,7.16,0.01,0.01,0%,1568,0,0,0
16,9.22,0.01,0,0%,1576,0,0,0
17,6.25,0.01,0.01,0%,1584,0,0,0
18,5.32,0,0.01,0%,1592,0,0,0
19,5.89,0.01,0.01,0%,1600,0,0,0
20,5.29,0.01,0.01,0%,1612,0,0,0
21,6.25,0.01,0.01,0%,1620,0,0,0
22,6.08,0.01,0.01,0%,1624,0,0,0
23,5.41,0.01,0.01,0%,1636,0,0,0
24,4.77,0,0.01,0%,1644,0,0,0
25,4.36,0.01,0.01,0%,1648,0,0,0
26,5.02,0.01,0.01,0%,1660,0,0,0
27,3.58,0.01,0.01,0%,1668,0,0,0
28,4.63,0.01,0.01,0%,1676,0,0,0
29,4.5,0.01,0.01,0%,1688,0,0,0
30,4.17,0.01,0.01,0%,1692,0,0,0
31,3.2,0.01,0.01,0%,1700,0,0,0
32,5.27,0,0.01,0%,1708,0,0,0
33,4.2,0.01,0.01,0%,5560,0,0,0
34,4.17,0,0.01,0%,1732,0,0,0
35,4.51,0,0.01,0%,1740,0,0,0
36,4.63,0.01,0.01,0%,1748,0,0,0
37,3.4,0.01,0.01,0%,1756,0,0,0
38,5.02,0.01,0.01,0%,1764,0,0,0
39,5.36,0,0.01,0%,1768,0,0,0
40,4.03,0.01,0.01,0%,1784,0,0,0
41,4.19,0.01,0.01,0%,1792,0,0,0
42,4.86,0.01,0.01,0%,1800,0,0,0
43,3.61,0.01,0.01,0%,1808,0,0,0
44,3.85,0.01,0.01,0%,1812,0,0,0
45,5.61,0.01,0.01,0%,1820,0,0,0
46,3.79,0.01,0.01,0%,1832,0,0,0
47,4.51,0.01,0.01,0%,1840,0,0,0
48,4.61,0.01,0.01,0%,1852,0,0,0
49,4.97,0,0.02,0%,1860,0,0,0
50,3.51,0.01,0,0%,1868,0,0,0
51,4.25,0.01,0.01,0%,1876,0,0,0
52,3.75,0.01,0.01,0%,1884,0,0,0
53,4.38,0.01,0.01,0%,1896,0,0,0
54,3.44,0.01,0.02,0%,1904,0,0,0
55,5.2,0.01,0.01,0%,1912,0,0,0
56,3.95,0.01,0.01,0%,1920,0,0,0
57,2.98,0,0.02,1%,1928,0,0,0
58,2.98,0.01,0.02,1%,8012,0,0,0
59,3.56,0,0.02,0%,1940,0,0,0
60,2.98,0.01,0.02,1%,8012,0,0,0
61,3,0.01,0.01,1%,1964,0,0,0
62,2.98,0.01,0.02,1%,1972,0,0,0
63,2.98,0.01,0.02,1%,1980,0,0,0
64,2.98,0.01,0.01,1%,1988,0,0,0
65,2.98,0.01,0.02,1%,1992,0,0,0
66,2.98,0.01,0.01,1%,2008,0,0,0
67,2.98,0.01,0.01,1%,2016,0,0,0
68,2.98,0.01,0.02,1%,2024,0,0,0
69,2.98,0.01,0.02,1%,2032,0,0,0
70,2.98,0.01,0.02,1%,3928,0,0,0
71,2.98,0,0.02,1%,2048,0,0,0
72,2.98,0.01,0.02,1%,2056,0,0,0
73,2.98,0.01,0.02,1%,2064,0,0,0
74,2.98,0.01,0.02,1%,2076,0,0,0
75,2.98,0.01,0.02,1%,2084,0,0,0
76,2.98,0.01,0.02,1%,2092,0,0,0
77,2.97,0.01,0.02,1%,2100,0,0,0
78,2.98,0.01,0.02,1%,8000,0,0,0
79,2.98,0.01,0.02,1%,2116,0,0,0
80,2.97,0.01,0.02,1%,8016,0,0,0
81,2.98,0.01,0.02,1%,3928,0,0,0
82,2.98,0.01,0.03,1%,8016,0,0,0
83,2.98,0.01,0.02,1%,3928,0,0,0
84,2.97,0.01,0.03,1%,2160,0,0,0
85,2.98,0.01,0.02,1%,4188,0,0,0
86,2.98,0.01,0.02,1%,4188,0,0,0
87,2.98,0.01,0.03,1%,8276,0,0,0
88,2.98,0.01,0.03,1%,8276,0,0,0
89,2.98,0.01,0.02,1%,4188,0,0,0
90,2.98,0.02,0.02,1%,8276,0,0,0
91,2.98,0.01,0.03,1%,4188,0,0,0
92,2.98,0.01,0.03,1%,8276,0,0,0
93,2.98,0.01,0.03,1%,4184,0,0,0
94,2.98,0.01,0.03,1%,6236,0,0,0
95,2.98,0.01,0.02,1%,4188,0,0,0
96,2.98,0.01,0.03,1%,4188,0,0,0
97,2.98,0.01,0.02,1%,4188,0,0,0
98,2.98,0.01,0.03,1%,4188,0,0,0
99,2.98,0.01,0.03,1%,4188,0,0,0
100,2.98,0.01,0.03,1%,4184,0,0,0
